pair,classifier_group,selected_global_tau,tau_count,tau_beating_stronger,tau_beating_simple_average,tau_beating_stronger_min,tau_beating_stronger_max,tau_within_0.01_sharpe_of_best
arima_lstm,1,0.3,89,0,5,,,5
arima_lstm,2,0.29,89,32,32,0.01,0.32,5
arima_lstm,3,0.36,89,0,0,,,4
arima_lstm,4,0.3,89,12,32,0.2,0.31,1
arima_lstm,5,0.31,89,0,5,,,2
arima_xgboost,1,0.43,89,0,0,,,16
arima_xgboost,2,0.19,89,22,22,0.01,0.22,22
arima_xgboost,3,0.3,89,0,0,,,1
arima_xgboost,4,0.3,89,0,0,,,2
arima_xgboost,5,0.29,89,0,0,,,3
xgboost_lstm,1,0.52,89,55,56,0.35,0.89,3
xgboost_lstm,2,0.33,89,42,53,0.32,0.89,1
xgboost_lstm,3,0.3,89,0,0,,,74
xgboost_lstm,4,0.33,89,48,57,0.33,0.89,4
xgboost_lstm,5,0.55,89,35,54,0.55,0.89,37
